Name,Platform,Year,Genre,Publisher
Super Smash Bros. Brawl,Wii,2008,Fighting,Nintendo
Mario Kart 7,3DS,2011,Racing,Nintendo
Call of Duty: Black Ops,PS3,2010,Shooter,Activision
Grand Theft Auto V,PS4,2014,Action,Take-Two Interactive
Animal Crossing: Wild World,DS,2005,Simulation,Nintendo
Halo 3,X360,2007,Shooter,Microsoft Game Studios
Super Mario 64,N64,1996,Platform,Nintendo
Pokemon HeartGold/Pokemon SoulSilver,DS,2009,Action,Nintendo
Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014,Role-Playing,Nintendo
Gran Turismo 4,PS2,2004,Racing,Sony Computer Entertainment
Super Mario Galaxy,Wii,2007,Platform,Nintendo
Super Mario Land 2: 6 Golden Coins,GB,1992,Adventure,Nintendo
Grand Theft Auto IV,X360,2008,Action,Take-Two Interactive
Gran Turismo,PS,1997,Racing,Sony Computer Entertainment
Super Mario 3D Land,3DS,2011,Platform,Nintendo
Gran Turismo 5,PS3,2010,Racing,Sony Computer Entertainment
Call of Duty: Modern Warfare 2,PS3,2009,Shooter,Activision
Super Mario All-Stars,SNES,1993,Platform,Nintendo
Grand Theft Auto IV,PS3,2008,Action,Take-Two Interactive
Pokemon FireRed/Pokemon LeafGreen,GBA,2004,Role-Playing,Nintendo
Super Mario 64,DS,2004,Platform,Nintendo
Call of Duty: Ghosts,X360,2013,Shooter,Activision
Just Dance 3,Wii,2011,Misc,Ubisoft
New Super Mario Bros. 2,3DS,2012,Platform,Nintendo
Mario Kart 64,N64,1996,Racing,Nintendo
Halo: Reach,X360,2010,Shooter,Microsoft Game Studios
Final Fantasy VII,PS,1997,Role-Playing,Sony Computer Entertainment
Halo 4,X360,2012,Shooter,Microsoft Game Studios
Gran Turismo 2,PS,1999,Racing,Sony Computer Entertainment
Just Dance 2,Wii,2010,Misc,Ubisoft
Call of Duty: Ghosts,PS3,2013,Shooter,Activision
Call of Duty 4: Modern Warfare,X360,2007,Shooter,Activision
Donkey Kong Country,SNES,1994,Platform,Nintendo
Minecraft,X360,2013,Misc,Microsoft Game Studios
Animal Crossing: New Leaf,3DS,2012,Simulation,Nintendo
Mario Party DS,DS,2007,Misc,Nintendo
The Elder Scrolls V: Skyrim,X360,2011,Role-Playing,Bethesda Softworks
Super Mario Kart,SNES,1992,Racing,Nintendo
FIFA 16,PS4,2015,Sports,Electronic Arts
Halo 2,XB,2004,Shooter,Microsoft Game Studios
Wii Party,Wii,2010,Misc,Nintendo
Mario Party 8,Wii,2007,Misc,Nintendo
FIFA Soccer 13,PS3,2012,Action,Electronic Arts
GoldenEye 007,N64,1997,Shooter,Nintendo
Pokemon Black 2/Pokemon White 2,DS,2012,Role-Playing,Nintendo
Final Fantasy X,PS2,2001,Role-Playing,Sony Computer Entertainment
The Sims 3,PC,2009,Simulation,Electronic Arts
Mario & Sonic at the Olympic Games,Wii,2007,Sports,Sega
Star Wars Battlefront (2015),PS4,2015,Shooter,Electronic Arts
Final Fantasy VIII,PS,1999,Role-Playing,SquareSoft
Pac-Man,2600,1982,Puzzle,Atari
Pokémon Platinum Version,DS,2008,Role-Playing,Nintendo
Grand Theft Auto: Liberty City Stories,PSP,2005,Action,Take-Two Interactive
Call of Duty: Advanced Warfare,PS4,2014,Shooter,Activision
The Legend of Zelda: Ocarina of Time,N64,1998,Action,Nintendo
FIFA 17,PS4,2016,Sports,Electronic Arts
Crash Bandicoot 2: Cortex Strikes Back,PS,1997,Platform,Sony Computer Entertainment
Super Smash Bros. for Wii U and 3DS,3DS,2014,Fighting,Nintendo
Super Mario Galaxy 2,Wii,2010,Platform,Nintendo
Super Mario Bros. 2,NES,1988,Platform,Nintendo
Call of Duty: Black Ops 3,XOne,2015,Shooter,Activision
Call of Duty: World at War,X360,2008,Shooter,Activision
Battlefield 3,X360,2011,Shooter,Electronic Arts
Need for Speed Underground,PS2,2003,Racing,Electronic Arts
Just Dance,Wii,2009,Misc,Ubisoft
Battlefield 3,PS3,2011,Shooter,Electronic Arts
Fallout 4,PS4,2015,Role-Playing,Bethesda Softworks
Tekken 3,PS,1998,Fighting,Sony Computer Entertainment
The Legend of Zelda: Twilight Princess,Wii,2006,Action,Nintendo
Pokemon Sun/Moon,3DS,2016,Role-Playing,Nintendo
Crash Bandicoot 3: Warped,PS,1998,Platform,Sony Computer Entertainment
Mario Kart 8,WiiU,2014,Racing,Nintendo
Super Smash Bros. Melee,GC,2001,Fighting,Nintendo
Mario Kart: Double Dash!!,GC,2003,Racing,Nintendo
Need for Speed Underground 2,PS2,2004,Racing,Electronic Arts
Medal of Honor: Frontline,PS2,2002,Shooter,Electronic Arts
Crash Bandicoot,PS,1996,Platform,Sony Computer Entertainment
Just Dance 4,Wii,2012,Misc,Ubisoft
Gears of War 2,X360,2008,Shooter,Microsoft Game Studios
Uncharted 3: Drake's Deception,PS3,2011,Action,Sony Computer Entertainment
Zumba Fitness,Wii,2010,Sports,505 Games
Call of Duty 4: Modern Warfare,PS3,2007,Shooter,Activision
Uncharted 2: Among Thieves,PS3,2009,Action,Sony Computer Entertainment
FIFA 12,PS3,2011,Sports,Electronic Arts
Big Brain Academy,DS,2005,Misc,Nintendo
The Legend of Zelda,NES,1986,Action,Nintendo
Red Dead Redemption,PS3,2010,Action,Take-Two Interactive
FIFA 14,PS3,2013,Sports,Electronic Arts
Assassin's Creed III,PS3,2012,Action,Ubisoft
Donkey Kong Country Returns,Wii,2010,Platform,Nintendo
Halo: Combat Evolved,XB,2001,Shooter,Microsoft Game Studios
The Elder Scrolls V: Skyrim,PS3,2011,Role-Playing,Bethesda Softworks
Pokémon Emerald Version,GBA,2004,Role-Playing,Nintendo
Kingdom Hearts,PS2,2002,Role-Playing,Sony Computer Entertainment
Pokémon Crystal Version,GB,2000,Role-Playing,Nintendo
Halo 3: ODST,X360,2009,Shooter,Microsoft Game Studios
Red Dead Redemption,X360,2010,Action,Take-Two Interactive
Super Mario Sunshine,GC,2002,Platform,Nintendo
Street Fighter II: The World Warrior,SNES,1992,Fighting,Capcom
World of Warcraft,PC,2004,Role-Playing,Activision
Driver,PS,1999,Action,GT Interactive
Gears of War 3,X360,2011,Shooter,Microsoft Game Studios
Kinect Sports,X360,2010,Sports,Microsoft Game Studios
Gears of War,X360,2006,Shooter,Microsoft Game Studios
FIFA 15,PS4,2014,Sports,Electronic Arts
Metal Gear Solid 2: Sons of Liberty,PS2,2001,Action,Konami Digital Entertainment
Sonic the Hedgehog 2,GEN,1992,Platform,Sega
Metal Gear Solid,PS,1998,Action,Konami Digital Entertainment
Metal Gear Solid 4: Guns of the Patriots,PS3,2008,Action,Konami Digital Entertainment
Final Fantasy XII,PS2,2006,Role-Playing,Square Enix
The Last of Us,PS3,2013,Action,Sony Computer Entertainment Europe
LittleBigPlanet,PS3,2008,Platform,Sony Computer Entertainment
Resident Evil 2,PS,1998,Action,Virgin Interactive
Dragon Quest IX: Sentinels of the Starry Skies,DS,2009,Role-Playing,Nintendo
Tekken 2,PS,1996,Fighting,Sony Computer Entertainment
Destiny,PS4,2014,Shooter,Activision
LEGO Star Wars: The Complete Saga,Wii,2007,Action,LucasArts
Cooking Mama,DS,2006,Simulation,505 Games
Tetris,NES,1988,Puzzle,Nintendo
Super Smash Bros.,N64,1999,Fighting,Nintendo
Assassin's Creed II,PS3,2009,Action,Ubisoft
Assassin's Creed,X360,2007,Adventure,Ubisoft
Forza Motorsport 3,X360,2009,Racing,Microsoft Game Studios
Super Mario Advance,GBA,2001,Platform,Nintendo
Monster Hunter Freedom Unite,PSP,2008,Role-Playing,Capcom
Batman: Arkham City,PS3,2011,Action,Warner Bros. Interactive Entertainment
Grand Theft Auto V,XOne,2014,Action,Take-Two Interactive
Mario Kart: Super Circuit,GBA,2001,Racing,Nintendo
Super Mario World,GBA,2001,Platform,Nintendo
Pokemon Stadium,N64,1999,Strategy,Nintendo
Crash Bandicoot: The Wrath of Cortex,PS2,2001,Platform,Universal Interactive
Call of Duty: World at War,PS3,2008,Shooter,Activision
Uncharted 4: A Thief's End,PS4,2016,Shooter,Sony Computer Entertainment
Dr. Mario,GB,1989,Puzzle,Nintendo
Final Fantasy XIII,PS3,2009,Role-Playing,Square Enix
Pokemon Pinball,GB,1999,Misc,Nintendo
Final Fantasy IX,PS,2000,Role-Playing,SquareSoft
Assassin's Creed III,X360,2012,Action,Ubisoft
Final Fantasy X-2,PS2,2003,Role-Playing,Electronic Arts
Donkey Kong 64,N64,1999,Platform,Nintendo
Call of Duty: Advanced Warfare,XOne,2014,Shooter,Activision
Minecraft,PS3,2014,Misc,Sony Computer Entertainment
Assassin's Creed II,X360,2009,Action,Ubisoft
Tomb Raider II,PS,1997,Action,Eidos Interactive
Madden NFL 2004,PS2,N/A,Sports,Electronic Arts
Tomodachi Life,3DS,2013,Simulation,Nintendo
New Super Mario Bros. U,WiiU,2012,Platform,Nintendo
Dragon Quest VIII: Journey of the Cursed King,PS2,2004,Role-Playing,Square Enix
Super Mario Bros. 3,GBA,2003,Platform,Nintendo
Professor Layton and the Curious Village,DS,2007,Puzzle,Nintendo
Super Mario Land 3: Wario Land,GB,1994,Platform,Nintendo
FIFA Soccer 13,X360,2012,Action,Electronic Arts
Donkey Kong Country 2: Diddy's Kong Quest,SNES,1995,Platform,Nintendo
Diablo III,PC,2012,Role-Playing,Activision
Medal of Honor: Rising Sun,PS2,2003,Shooter,Electronic Arts
Kirby's Dream Land,GB,1992,Platform,Nintendo
Microsoft Flight Simulator,PC,1996,Simulation,Microsoft Game Studios
Guitar Hero II,PS2,2006,Misc,RedOctane
Fable III,X360,2010,Role-Playing,Microsoft Game Studios
Mario & Sonic at the Olympic Games,DS,2008,Sports,Sega
Resident Evil 5,PS3,2009,Action,Capcom
The Legend of Zelda: Phantom Hourglass,DS,2007,Action,Nintendo
Super Mario Bros.,GB,1999,Platform,Nintendo
FIFA Soccer 11,PS3,2010,Sports,Electronic Arts
Resident Evil,PS,1996,Action,Virgin Interactive
Grand Theft Auto: Vice City Stories,PSP,2006,Action,Take-Two Interactive
Tony Hawk's Pro Skater,PS,1999,Sports,Activision
Warzone 2100,PS,1999,Strategy,Eidos Interactive
Spyro the Dragon,PS,1998,Platform,Sony Computer Entertainment
Guitar Hero III: Legends of Rock,PS2,2007,Misc,Activision
Link's Crossbow Training,Wii,2007,Shooter,Nintendo
Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,DS,2007,Role-Playing,Nintendo
Fallout 3,X360,2008,Role-Playing,Bethesda Softworks
Uncharted: Drake's Fortune,PS3,2007,Action,Sony Computer Entertainment
Madden NFL 06,PS2,2005,Sports,Electronic Arts
Diddy Kong Racing,N64,1997,Racing,Nintendo
Monster Hunter Freedom 3,PSP,2010,Role-Playing,Capcom
Super Smash Bros. for Wii U and 3DS,WiiU,2014,Fighting,Nintendo
Dr. Mario,NES,1990,Puzzle,Nintendo
StarCraft II: Wings of Liberty,PC,2010,Strategy,Activision
Assassin's Creed,PS3,2007,Adventure,Ubisoft
God of War III,PS3,2010,Action,Sony Computer Entertainment
Crash Team Racing,PS,1999,Racing,Sony Computer Entertainment
LEGO Star Wars: The Complete Saga,DS,2007,Action,LucasArts
Driver 2,PS,2000,Action,Atari
Batman: Arkham City,X360,2011,Action,Warner Bros. Interactive Entertainment
The Last of Us,PS4,2014,Action,Sony Computer Entertainment
The Simpsons: Hit & Run,PS2,2003,Racing,Vivendi Games
Tony Hawk's Pro Skater 2,PS,2000,Sports,Activision
The Lord of the Rings: The Two Towers,PS2,2002,Action,Electronic Arts
Tomb Raider,PS,1996,Action,Eidos Interactive
Animal Crossing: City Folk,Wii,2008,Simulation,Nintendo
Uncharted: The Nathan Drake Collection,PS4,2015,Action,Sony Computer Entertainment
The Legend of Zelda: A Link to the Past,SNES,1991,Action,Nintendo
The Legend of Zelda: The Wind Waker,GC,2002,Action,Nintendo
Guitar Hero III: Legends of Rock,Wii,2007,Misc,Activision
Luigi's Mansion: Dark Moon,3DS,2013,Action,Nintendo
Forza Motorsport 4,X360,2011,Racing,Microsoft Game Studios
Mario & Sonic at the Olympic Winter Games,Wii,2009,Sports,Sega
Madden NFL 2005,PS2,2004,Sports,Electronic Arts
Guitar Hero III: Legends of Rock,X360,2007,Misc,Activision
Pitfall!,2600,1981,Platform,Activision
Madden NFL 07,PS2,2006,Sports,Electronic Arts
Halo 5: Guardians,XOne,2015,Shooter,Microsoft Game Studios
Spider-Man: The Movie,PS2,2002,Action,Activision
Dragon Quest VII: Warriors of Eden,PS,2000,Role-Playing,Enix Corporation
Call of Duty: Infinite Warfare,PS4,2016,Shooter,Activision
God of War,PS2,2005,Action,Sony Computer Entertainment
Splatoon,WiiU,2015,Shooter,Nintendo
Nintendo Land,WiiU,2012,Misc,Nintendo
Tony Hawk's Pro Skater 3,PS2,2001,Sports,Activision
Winning Eleven: Pro Evolution Soccer 2007,PS2,2006,Sports,Konami Digital Entertainment
The Elder Scrolls IV: Oblivion,X360,2006,Role-Playing,Take-Two Interactive
Zelda II: The Adventure of Link,NES,1987,Adventure,Nintendo
Need for Speed: Most Wanted,PS2,2005,Racing,Electronic Arts
Michael Jackson: The Experience,Wii,2010,Misc,Ubisoft
Call of Duty: Advanced Warfare,PS3,2014,Shooter,Activision
Resistance: Fall of Man,PS3,2006,Shooter,Sony Computer Entertainment
Sonic the Hedgehog,GEN,1991,Platform,Sega
Kingdom Hearts II,PS2,2005,Role-Playing,Square Enix
The Legend of Zelda: Ocarina of Time,3DS,2011,Action,Nintendo
Super Mario 3D World,WiiU,2013,Platform,Nintendo
Minecraft,PS4,2014,Misc,Sony Computer Entertainment Europe
Asteroids,2600,1980,Shooter,Atari
Call of Duty: Advanced Warfare,X360,2014,Shooter,Activision
FIFA 15,PS3,2014,Sports,Electronic Arts
Fable II,X360,2008,Role-Playing,Microsoft Game Studios
Namco Museum,GBA,2001,Misc,Namco Bandai Games
Batman: Arkham Asylum,PS3,2009,Action,Eidos Interactive
Metal Gear Solid 3: Snake Eater,PS2,2004,Action,Konami Digital Entertainment
Assassin's Creed: Revelations,PS3,2011,Action,Ubisoft
Fallout 4,XOne,2015,Role-Playing,Bethesda Softworks
FIFA 14,X360,2013,Sports,Electronic Arts
Daxter,PSP,2006,Platform,Sony Computer Entertainment
Warcraft II: Tides of Darkness,PC,1995,Strategy,Activision
FIFA Soccer 06,PS2,2005,Sports,Electronic Arts
EyeToy Play,PS2,2003,Misc,Sony Computer Entertainment
Gran Turismo 5 Prologue,PS3,2007,Racing,Sony Computer Entertainment
Assassin's Creed: Revelations,X360,2011,Action,Ubisoft
FIFA 12,X360,2011,Sports,Electronic Arts
Teenage Mutant Ninja Turtles,NES,1989,Action,Palcom
Street Fighter IV,PS3,2009,Fighting,Capcom
Excitebike,NES,1984,Racing,Nintendo
Frogger,PS,1997,Action,Hasbro Interactive
Madden NFL 2003,PS2,2002,Sports,Electronic Arts
Half-Life,PC,1997,Shooter,Vivendi Games
Super Mario World 2: Yoshi's Island,SNES,1995,Platform,Nintendo
FIFA Soccer 07,PS2,2006,Sports,Electronic Arts
Street Fighter II Turbo,SNES,1992,Fighting,Capcom
World of Warcraft: The Burning Crusade,PC,2007,Role-Playing,Activision
Battlefield 1,PS4,2016,Shooter,Electronic Arts
God of War II,PS2,2007,Action,Sony Computer Entertainment
World Soccer Winning Eleven 9,PS2,2005,Sports,Konami Digital Entertainment
Fallout: New Vegas,X360,2010,Role-Playing,Bethesda Softworks
Forza Motorsport 2,X360,2007,Racing,Microsoft Game Studios
Carnival Games,Wii,2007,Misc,Take-Two Interactive
Watch Dogs,PS4,2014,Action,Ubisoft
Namco Museum Vol.3,PS,1996,Misc,Sony Computer Entertainment
Tekken Tag Tournament,PS2,2000,Fighting,Namco Bandai Games
Far Cry 4,PS4,2014,Shooter,Ubisoft
Star Fox 64,N64,1997,Shooter,Nintendo
Golf,NES,1984,Sports,Nintendo
Namco Museum: 50th Anniversary,PS2,2005,Misc,Namco Bandai Games
Left 4 Dead 2,X360,2009,Shooter,Electronic Arts
The Witcher 3: Wild Hunt,PS4,2015,Role-Playing,Namco Bandai Games
Assassin's Creed: Unity,PS4,2014,Action,Ubisoft
Batman: Arkham Knight,PS4,2015,Action,Warner Bros. Interactive Entertainment
The Legend of Zelda: Skyward Sword,Wii,2011,Action,Nintendo
Fallout 3,PS3,2008,Role-Playing,Bethesda Softworks
Professor Layton and the Diabolical Box,DS,2007,Puzzle,Nintendo
Donkey Kong Land,GB,1994,Platform,Nintendo
EA Sports Active,Wii,2009,Sports,Electronic Arts
Tony Hawk's Underground,PS2,2003,Sports,Activision
Monster Hunter 4 Ultimate,3DS,2014,Role-Playing,Nintendo
The Elder Scrolls V: Skyrim,PC,2011,Role-Playing,Bethesda Softworks
NBA 2K16,PS4,2015,Sports,Take-Two Interactive
Tekken 5,PS2,2005,Fighting,Namco Bandai Games
Dragon Warrior III,NES,1988,Role-Playing,Enix Corporation
MotorStorm,PS3,2006,Racing,Sony Computer Entertainment
Nintendogs + cats,3DS,2011,Simulation,Nintendo
World Soccer Winning Eleven 8 International,PS2,2004,Sports,Konami Digital Entertainment
Sports Champions,PS3,2010,Sports,Sony Computer Entertainment
Namco Museum Vol.1,PS,1995,Misc,Sony Computer Entertainment
The Legend of Zelda: Link's Awakening,GB,1992,Action,Nintendo
Call of Duty: Ghosts,PS4,2013,Shooter,Activision
Flash Focus: Vision Training in Minutes a Day,DS,2007,Misc,Nintendo
Tom Clancy's The Division,PS4,2016,Shooter,Ubisoft
Big Brain Academy: Wii Degree,Wii,2007,Misc,Nintendo
Resident Evil Director's Cut,PS,1996,Action,Virgin Interactive
Mario & Luigi: Bowser's Inside Story,DS,2009,Role-Playing,Nintendo
LEGO Indiana Jones: The Original Adventures,X360,2008,Action,Activision
The Sims: Unleashed,PC,2002,Simulation,Electronic Arts
Ratchet & Clank: Size Matters,PSP,2007,Platform,Sony Computer Entertainment
Harry Potter and the Sorcerer's Stone,PS,2001,Action,Electronic Arts
Mario & Sonic at the London 2012 Olympic Games,Wii,2011,Sports,Sega
Resident Evil 3: Nemesis,PS,1999,Action,Eidos Interactive
Super Paper Mario,Wii,2007,Platform,Nintendo
Spyro: Year of the Dragon,PS,2000,Platform,Sony Computer Entertainment
Assassin's Creed IV: Black Flag,PS3,2013,Action,Ubisoft
FIFA Soccer 2005,PS2,2004,Sports,Electronic Arts
Pokémon Trading Card Game,GB,1998,Strategy,Nintendo
Friend Collection,DS,2009,Misc,Nintendo
Tony Hawk's Pro Skater 4,PS2,2002,Sports,Activision
Star Wars Battlefront (2015),XOne,2015,Shooter,Electronic Arts
MySims,DS,2007,Simulation,Electronic Arts
Midnight Club 3: DUB Edition,PSP,2005,Racing,Take-Two Interactive
Banjo-Kazooie,N64,1998,Platform,Nintendo
SOCOM: U.S. Navy SEALs,PS2,2002,Shooter,Sony Computer Entertainment
Jak and Daxter: The Precursor Legacy,PS2,2001,Platform,Sony Computer Entertainment
Pokemon Snap,N64,1999,Simulation,Nintendo
Pro Evolution Soccer 2008,PS2,2007,Sports,Konami Digital Entertainment
Resident Evil 4,PS2,2005,Action,Capcom
Guitar Hero: World Tour,Wii,2008,Misc,Activision
FIFA Soccer 10,PS3,2009,Sports,Electronic Arts
Star Wars: Battlefront,PS2,2004,Shooter,LucasArts
Doom II: Hell on Earth,PC,1994,Shooter,Virgin Interactive
The Simpsons: Road Rage,PS2,2001,Racing,Electronic Arts
Luigi's Mansion,GC,2001,Action,Nintendo
Battlefield 4,PS4,2013,Shooter,Electronic Arts
Star Wars: Battlefront II,PS2,2005,Shooter,LucasArts
Just Dance 2014,Wii,2013,Misc,Ubisoft
Cooking Mama 2: Dinner With Friends,DS,2007,Simulation,505 Games
WWF SmackDown!,PS,2000,Fighting,THQ
Croc: Legend of the Gobbos,PS,1997,Platform,Fox Interactive
Grand Theft Auto: Liberty City Stories,PS2,2006,Action,Take-Two Interactive
The Getaway,PS2,2002,Action,Sony Computer Entertainment
Tomb Raider III: Adventures of Lara Croft,PS,1997,Action,Eidos Interactive
James Bond 007: Agent Under Fire,PS2,2001,Shooter,Electronic Arts
LEGO Star Wars: The Video Game,PS2,2005,Action,Eidos Interactive
Rugrats in Paris: The Movie,PS,2000,Action,THQ
FIFA Soccer 11,X360,2010,Sports,Electronic Arts
Spyro 2: Ripto's Rage!,PS,1999,Platform,Sony Computer Entertainment
Left 4 Dead,X360,2008,Shooter,Electronic Arts
Donkey Kong Country 3: Dixie Kong's Double Trouble!,SNES,1996,Platform,Nintendo
Assassin's Creed: Unity,XOne,2014,Action,Ubisoft
Kung Fu,NES,1985,Action,Nintendo
Resident Evil 5,X360,2009,Action,Capcom
Assassin's Creed: Brotherhood,X360,2010,Action,Ubisoft
FIFA Soccer 2004,PS2,N/A,Sports,Electronic Arts
Battlefield 4,PS3,2013,Shooter,Electronic Arts
Batman: Arkham Asylum,X360,2009,Action,Eidos Interactive
Battlefield 4,X360,2013,Shooter,Electronic Arts
Battlefield: Bad Company 2,X360,2010,Shooter,Electronic Arts
Mario & Sonic at the Olympic Winter Games,DS,2009,Sports,Sega
Guitar Hero: On Tour,DS,2008,Misc,Activision
Clubhouse Games,DS,2006,Misc,Nintendo
Monster Hunter 4,3DS,2013,Role-Playing,Capcom
Borderlands,X360,2009,Shooter,Take-Two Interactive
Tekken 4,PS2,2002,Fighting,Namco Bandai Games
Final Fantasy III,SNES,1994,Role-Playing,SquareSoft
Grand Theft Auto 2,PS,1998,Action,Take-Two Interactive
Metal Gear Solid V: The Phantom Pain,PS4,2015,Action,Konami Digital Entertainment
Spider-Man 2,PS2,2004,Action,Activision
F-1 Race,GB,1990,Racing,Nintendo
FIFA Soccer 2003,PS2,2002,Sports,Electronic Arts
LittleBigPlanet 2,PS3,2011,Platform,Sony Computer Entertainment
Crash Bash,PS,2000,Misc,Sony Computer Entertainment
Assassin's Creed Syndicate,PS4,2015,Action,Ubisoft
LEGO Batman: The Videogame,X360,2008,Action,Warner Bros. Interactive Entertainment
Destiny,XOne,2014,Shooter,Activision
WWF War Zone,PS,1998,Fighting,Acclaim Entertainment
The Legend of Zelda: Majora's Mask,N64,2000,Action,Nintendo
Far Cry 3,PS3,2012,Shooter,Ubisoft
Rugrats: Search For Reptar,PS,1998,Adventure,THQ
English Training: Have Fun Improving Your Skills!,DS,2006,Misc,Nintendo
James Bond 007: Nightfire,PS2,2002,Shooter,Electronic Arts
Ratchet & Clank,PS2,2002,Platform,Sony Computer Entertainment
Monster Hunter X,3DS,2015,Action,Capcom
Star Wars Episode III: Revenge of the Sith,PS2,2005,Action,LucasArts
The Legend of Zelda: Spirit Tracks,DS,2009,Action,Nintendo
Max Payne,PS2,2001,Shooter,Take-Two Interactive
Assassin's Creed IV: Black Flag,X360,2013,Action,Ubisoft
The Lord of the Rings: The Return of the King,PS2,2003,Action,Electronic Arts
Yokai Watch 2 Ganso/Honke,3DS,2014,Role-Playing,Nintendo
Gears of War: Ultimate Edition,XOne,2015,Shooter,Microsoft Game Studios
True Crime: Streets of LA,PS2,2003,Action,Activision
Professor Layton and the Unwound Future,DS,2008,Puzzle,Nintendo
Gran Turismo (PSP),PSP,2009,Racing,Sony Computer Entertainment
FIFA 16,XOne,2015,Sports,Electronic Arts
Wii Music,Wii,2008,Misc,Nintendo
Tekken,PS,1995,Fighting,Sony Computer Entertainment
Madden NFL 16,PS4,2015,Sports,Electronic Arts
Gran Turismo 6,PS3,2013,Racing,Sony Computer Entertainment
Halo: The Master Chief Collection,XOne,2014,Shooter,Microsoft Game Studios
007: Tomorrow Never Dies,PS,1999,Shooter,Electronic Arts
Super Mario Maker,WiiU,2015,Platform,Nintendo
WWF SmackDown! 2: Know Your Role,PS,2000,Fighting,THQ
Baseball,NES,1983,Sports,Nintendo
Killer Instinct,SNES,1995,Fighting,Nintendo
Dragon Quest VI: Maboroshi no Daichi,SNES,1995,Role-Playing,Enix Corporation
God of War: Chains of Olympus,PSP,2008,Action,Sony Computer Entertainment
Enter the Matrix,PS2,2003,Action,Atari
Crisis Core: Final Fantasy VII,PSP,2007,Role-Playing,Square Enix
Dance Central,X360,2010,Misc,MTV Games
L.A. Noire,PS3,2011,Adventure,Take-Two Interactive
Ace Combat 04: Shattered Skies,PS2,2001,Simulation,Sony Computer Entertainment Europe
Animal Crossing,GC,2001,Simulation,Nintendo
FIFA Soccer 08,PS2,2007,Sports,Electronic Arts
Club Penguin: Elite Penguin Force,DS,2008,Adventure,Disney Interactive Studios
Spider-Man,PS,2000,Action,Activision
Mario Party 9,Wii,2012,Misc,Nintendo
Need for Speed III: Hot Pursuit,PS,1998,Racing,Electronic Arts
Star Wars Episode I Racer,N64,1999,Racing,Nintendo
Sonic Rush,DS,2005,Platform,Sega
Dragon Warrior IV,NES,1990,Role-Playing,Enix Corporation
Rhythm Heaven,DS,2008,Misc,Nintendo
Fallout: New Vegas,PS3,2010,Role-Playing,Bethesda Softworks
Personal Trainer: Cooking,DS,2006,Misc,Nintendo
The Elder Scrolls IV: Oblivion,PS3,2007,Role-Playing,Ubisoft
The Legend of Zelda: A Link Between Worlds,3DS,2013,Action,Nintendo
Resident Evil 6,PS3,2012,Shooter,Capcom
Mass Effect 2,X360,2010,Role-Playing,Electronic Arts
Dragon Ball Z: Budokai,PS2,2002,Fighting,Atari
Madden NFL 2002,PS2,2001,Sports,Electronic Arts
