Genre,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Platform,"2,80","1,98","0,17","0,87","5,82"
Action,"1,88","1,47","2,02","0,45","5,82"
Role-Playing,"0,63","0,67","4,35","0,15","5,78"
Fighting,"2,26","1,89","1,36","0,23","5,74"
Shooter,"2,49","2,07","0,16","0,92","5,64"
Action,"3,57","1,55","0,00","0,51","5,64"
Simulation,"3,07","1,91","0,07","0,57","5,63"
Puzzle,"2,97","0,69","1,81","0,11","5,58"
Fighting,"2,95","0,60","1,97","0,04","5,55"
Action,"2,54","1,93","0,21","0,86","5,55"
Adventure,"3,28","1,64","0,07","0,56","5,54"
Racing,"2,99","1,90","0,10","0,50","5,49"
Platform,"3,14","1,24","0,91","0,20","5,49"
Role-Playing,"0,47","0,55","4,13","0,34","5,48"
Action,"2,71","1,85","0,11","0,81","5,48"
Action,"2,81","2,19","0,00","0,47","5,48"
Racing,"2,62","1,64","0,99","0,23","5,47"
Platform,"3,21","1,11","0,95","0,20","5,46"
Strategy,"3,18","1,24","0,94","0,09","5,45"
Platform,"2,07","2,29","0,24","0,82","5,42"
Shooter,"2,73","1,83","0,00","0,83","5,39"
Shooter,"1,85","2,50","0,19","0,85","5,38"
Puzzle,"2,18","0,96","2,00","0,20","5,34"
Role-Playing,"1,74","1,21","1,87","0,51","5,33"
Misc,"3,02","1,12","1,01","0,16","5,31"
Role-Playing,"1,62","0,77","2,78","0,14","5,30"
Action,"3,13","1,69","0,03","0,44","5,29"
Role-Playing,"1,92","1,08","2,11","0,17","5,29"
Platform,"3,33","0,79","1,09","0,06","5,27"
Shooter,"3,22","1,55","0,01","0,48","5,27"
Misc,"2,03","2,37","0,00","0,87","5,26"
Action,"3,11","1,55","0,08","0,51","5,26"
Action,"2,30","2,46","0,20","0,28","5,24"
Sports,"4,26","0,26","0,01","0,71","5,23"
Simulation,"0,97","2,11","1,90","0,24","5,23"
Platform,"2,30","1,34","1,27","0,32","5,22"
Role-Playing,"0,65","0,75","3,61","0,20","5,21"
Platform,"2,93","1,25","0,83","0,20","5,20"
Puzzle,"1,21","2,43","1,03","0,52","5,19"
Platform,"2,49","0,98","1,57","0,15","5,19"
Action,"1,09","3,47","0,03","0,57","5,16"
Platform,"2,10","0,74","2,20","0,11","5,15"
Role-Playing,"2,44","2,16","0,00","0,54","5,14"
Shooter,"1,98","2,23","0,13","0,80","5,13"
Platform,"2,71","0,61","1,70","0,11","5,13"
Simulation,"3,22","1,69","0,00","0,20","5,12"
Misc,"3,81","0,63","0,00","0,68","5,12"
Role-Playing,"3,59","1,08","0,05","0,38","5,10"
Sports,"1,63","2,45","0,44","0,57","5,09"
Action,"1,96","1,41","1,08","0,64","5,09"
Action,"1,85","1,80","0,95","0,48","5,08"
Platform,"3,40","1,30","0,15","0,22","5,07"
Sports,"0,61","3,28","0,06","1,12","5,07"
Action,"2,05","1,16","1,11","0,73","5,05"
Action,"1,70","1,99","0,16","1,18","5,03"
Sports,"3,42","1,38","0,02","0,20","5,02"
Strategy,"2,79","1,89","0,00","0,33","5,01"
Platform,"3,36","1,36","0,07","0,21","5,00"
Misc,"3,49","0,01","0,01","1,48","4,98"
Shooter,"3,05","1,17","0,29","0,46","4,98"
Role-Playing,"1,83","1,19","1,54","0,37","4,93"
Role-Playing,"3,40","0,99","0,09","0,45","4,93"
Action,"2,31","1,72","0,12","0,77","4,92"
Sports,"3,98","0,26","0,01","0,66","4,91"
Racing,"2,91","0,99","0,89","0,10","4,88"
Role-Playing,"0,00","0,00","4,87","0,00","4,87"
Fighting,"2,60","1,08","0,81","0,38","4,87"
Puzzle,"2,62","0,60","1,52","0,10","4,85"
Strategy,"2,57","1,68","0,00","0,58","4,84"
Adventure,"1,91","2,00","0,09","0,82","4,82"
Action,"2,74","1,33","0,12","0,61","4,80"
Racing,"2,57","1,57","0,44","0,21","4,79"
Action,"2,83","1,48","0,00","0,45","4,76"
Action,"2,36","2,10","0,02","0,25","4,73"
Action,"2,99","1,27","0,04","0,42","4,73"
Action,"1,88","2,00","0,07","0,77","4,71"
Racing,"1,73","2,19","0,00","0,79","4,70"
Sports,"3,05","1,41","0,02","0,20","4,68"
Action,"1,94","1,95","0,08","0,70","4,67"
Action,"2,29","1,97","0,13","0,24","4,63"
Simulation,"1,82","1,12","1,32","0,36","4,62"
Action,"2,07","1,71","0,08","0,76","4,62"
Action,"2,42","0,91","1,15","0,13","4,61"
Action,"2,60","0,99","0,89","0,13","4,60"
Misc,"3,04","1,11","0,00","0,43","4,60"
Action,"1,80","1,39","1,11","0,29","4,59"
Racing,"2,08","1,97","0,06","0,46","4,57"
Sports,"1,87","1,96","0,22","0,48","4,53"
Sports,"4,18","0,26","0,01","0,08","4,53"
Misc,"3,19","0,91","0,01","0,42","4,53"
Platform,"4,21","0,24","0,00","0,05","4,50"
Sports,"3,63","0,24","0,01","0,61","4,49"
Shooter,"2,78","1,27","0,03","0,41","4,48"
Action,"2,71","1,51","0,03","0,23","4,48"
Role-Playing,"0,20","0,14","4,10","0,02","4,47"
Shooter,"1,61","2,00","0,15","0,71","4,46"
Action,"2,71","1,29","0,02","0,43","4,45"
Shooter,"1,54","1,18","1,46","0,26","4,43"
Misc,"2,52","1,11","0,46","0,33","4,42"
Sports,"2,66","1,29","0,01","0,46","4,41"
Sports,"0,10","2,39","1,05","0,86","4,39"
Role-Playing,"2,82","1,03","0,13","0,40","4,38"
Adventure,"2,19","0,50","1,61","0,08","4,38"
Racing,"2,03","1,79","0,08","0,47","4,37"
Misc,"2,64","1,33","0,01","0,39","4,36"
Shooter,"1,56","1,93","0,19","0,68","4,36"
Shooter,"1,74","1,72","0,14","0,75","4,34"
Platform,"3,03","0,91","0,26","0,13","4,34"
Role-Playing,"2,20","0,58","1,38","0,17","4,33"
Action,"2,09","1,31","0,62","0,31","4,33"
Platform,"2,11","1,16","0,73","0,32","4,32"
Misc,"1,48","2,02","0,14","0,68","4,32"
Shooter,"4,00","0,26","0,00","0,05","4,31"
Shooter,"2,77","1,11","0,00","0,40","4,29"
Sports,"0,58","3,02","0,04","0,64","4,28"
Role-Playing,"2,51","1,24","0,11","0,41","4,27"
Misc,"3,00","1,11","0,05","0,07","4,24"
Action,"2,24","1,31","0,07","0,61","4,23"
Action,"1,46","0,00","0,83","1,93","4,23"
Action,"1,41","2,01","0,10","0,70","4,22"
Role-Playing,"2,51","1,32","0,01","0,38","4,22"
Sports,"0,92","2,89","0,01","0,40","4,22"
Platform,"2,45","1,01","0,00","0,75","4,21"
Strategy,"1,70","2,27","0,00","0,23","4,21"
Sports,"0,78","2,55","0,04","0,84","4,21"
Misc,"0,88","2,30","0,20","0,83","4,20"
Racing,"1,28","1,82","0,57","0,52","4,19"
Action,"2,25","1,47","0,04","0,43","4,19"
Sports,"0,84","2,78","0,02","0,53","4,18"
Action,"3,38","0,44","0,31","0,04","4,17"
Fighting,"2,03","1,04","0,58","0,52","4,16"
Racing,"2,04","0,48","1,57","0,07","4,16"
Action,"3,79","0,27","0,00","0,11","4,16"
Sports,"3,36","0,21","0,01","0,56","4,14"
Shooter,"4,03","0,00","0,09","0,00","4,12"
Platform,"1,65","0,61","1,76","0,09","4,12"
Sports,"0,71","2,48","0,03","0,89","4,11"
Fighting,"1,42","0,51","2,10","0,07","4,10"
Role-Playing,"2,57","1,52","0,00","0,00","4,09"
Shooter,"1,10","2,15","0,21","0,61","4,08"
Action,"2,32","0,04","0,04","1,67","4,07"
Sports,"0,12","2,26","0,90","0,77","4,06"
Role-Playing,"2,66","1,03","0,04","0,33","4,05"
Racing,"2,35","1,27","0,03","0,41","4,05"
Misc,"2,12","1,47","0,05","0,42","4,05"
Action,"1,40","1,90","0,11","0,64","4,05"
Misc,"2,28","1,55","0,16","0,06","4,05"
Fighting,"1,68","1,51","0,51","0,35","4,05"
Shooter,"1,13","2,18","0,10","0,63","4,04"
Shooter,"2,78","0,58","0,64","0,04","4,03"
Sports,"1,22","0,28","2,46","0,04","4,01"
Misc,"2,08","1,35","0,00","0,54","3,98"
Shooter,"2,67","0,87","0,05","0,38","3,97"
Role-Playing,"1,02","2,13","0,23","0,59","3,97"
Action,"1,19","2,07","0,08","0,62","3,96"
Action,"1,53","1,69","0,10","0,64","3,95"
Action,"2,03","1,16","0,37","0,38","3,95"
Role-Playing,"2,15","1,13","0,07","0,59","3,94"
Puzzle,"0,90","1,76","0,92","0,37","3,94"
Platform,"1,97","0,76","1,07","0,11","3,91"
Sports,"2,09","1,35","0,06","0,40","3,90"
Sports,"2,29","1,17","0,01","0,42","3,90"
Role-Playing,"0,68","0,48","2,62","0,11","3,89"
Role-Playing,"1,16","2,12","0,00","0,60","3,88"
Sports,"2,49","0,66","0,03","0,69","3,88"
Fighting,"0,93","1,94","0,31","0,70","3,87"
Role-Playing,"0,10","0,00","3,77","0,00","3,87"
Racing,"1,53","1,60","0,06","0,67","3,87"
Simulation,"1,44","1,41","0,73","0,27","3,85"
Sports,"0,16","1,89","1,12","0,68","3,85"
Sports,"2,13","1,12","0,10","0,50","3,84"
Misc,"2,12","1,44","0,22","0,06","3,84"
Action,"2,21","0,96","0,54","0,13","3,83"
Shooter,"1,78","1,43","0,05","0,57","3,83"
Misc,"0,86","1,56","1,05","0,35","3,83"
Shooter,"1,35","1,70","0,15","0,60","3,80"
Misc,"1,05","1,91","0,41","0,42","3,79"
Action,"1,82","1,24","0,47","0,25","3,77"
Role-Playing,"2,23","0,47","0,81","0,26","3,77"
Action,"2,40","1,01","0,00","0,36","3,76"
Simulation,"2,03","1,56","0,00","0,17","3,76"
Platform,"1,40","1,39","0,10","0,86","3,74"
Action,"1,37","2,00","0,14","0,22","3,73"
Sports,"1,12","1,87","0,27","0,45","3,72"
Action,"1,30","0,77","1,54","0,11","3,72"
Platform,"1,95","0,86","0,59","0,31","3,71"
Platform,"1,93","1,58","0,00","0,19","3,71"
Action,"1,33","1,68","0,13","0,57","3,71"
Sports,"0,58","2,48","0,04","0,59","3,70"
Strategy,"1,49","0,73","1,38","0,10","3,70"
Misc,"0,00","0,00","3,67","0,00","3,67"
Sports,"2,13","1,18","0,01","0,35","3,67"
Shooter,"2,04","1,28","0,02","0,32","3,66"
Simulation,"1,58","1,59","0,08","0,41","3,66"
Racing,"1,65","1,21","0,00","0,79","3,65"
Platform,"1,87","1,13","0,55","0,10","3,65"
Shooter,"2,53","0,81","0,06","0,24","3,65"
Platform,"2,08","1,09","0,15","0,33","3,64"
Simulation,"2,23","0,68","0,66","0,06","3,63"
Sports,"0,05","0,00","0,64","2,93","3,63"
Action,"2,08","0,83","0,46","0,25","3,62"
Misc,"2,32","0,96","0,00","0,34","3,62"
Sports,"0,60","2,45","0,05","0,52","3,62"
Shooter,"1,93","1,22","0,03","0,44","3,61"
Shooter,"2,05","1,40","0,00","0,16","3,61"
Racing,"2,02","1,17","0,00","0,42","3,61"
Action,"2,38","0,67","0,46","0,10","3,60"
Shooter,"1,35","1,55","0,17","0,51","3,59"
Shooter,"2,18","1,02","0,03","0,37","3,59"
Misc,"1,88","1,39","0,00","0,31","3,59"
Simulation,"1,60","1,49","0,10","0,39","3,58"
Fighting,"2,01","1,35","0,06","0,16","3,58"
Platform,"1,57","1,79","0,00","0,20","3,56"
Action,"1,56","1,40","0,07","0,50","3,54"
Action,"1,23","1,77","0,05","0,49","3,54"
Action,"1,66","1,58","0,12","0,18","3,54"
Shooter,"1,90","1,13","0,10","0,41","3,53"
Action,"1,98","1,14","0,01","0,41","3,53"
Action,"1,96","1,33","0,00","0,23","3,52"
Sports,"0,71","2,39","0,02","0,40","3,52"
Platform,"2,14","1,21","0,01","0,17","3,52"
Shooter,"2,66","0,49","0,05","0,30","3,51"
Platform,"1,17","0,50","1,75","0,08","3,51"
Action,"2,27","0,90","0,00","0,33","3,50"
Action,"1,64","0,38","1,42","0,06","3,50"
Action,"2,11","0,93","0,12","0,34","3,50"
Action,"2,85","0,38","0,03","0,24","3,49"
Sports,"0,59","2,36","0,04","0,51","3,49"
Shooter,"1,30","1,42","0,27","0,50","3,49"
Action,"2,20","0,95","0,02","0,31","3,48"
Shooter,"2,15","1,01","0,02","0,31","3,48"
Shooter,"2,10","1,01","0,04","0,32","3,47"
Sports,"1,21","1,62","0,27","0,37","3,46"
Misc,"2,10","1,01","0,01","0,35","3,46"
Misc,"0,59","1,79","0,73","0,34","3,45"
Role-Playing,"0,00","0,00","3,44","0,00","3,44"
Shooter,"2,40","0,71","0,03","0,29","3,44"
Fighting,"1,55","1,27","0,33","0,29","3,44"
Role-Playing,"0,86","0,00","2,55","0,02","3,42"
Action,"1,13","2,07","0,00","0,22","3,42"
Action,"1,09","1,36","0,49","0,48","3,41"
Action,"1,75","1,20","0,02","0,43","3,41"
Racing,"1,73","0,69","0,59","0,40","3,41"
Sports,"0,46","2,28","0,05","0,61","3,40"
Platform,"1,83","1,05","0,06","0,46","3,39"
Misc,"1,56","1,47","0,19","0,17","3,39"
Action,"0,81","1,99","0,07","0,52","3,39"
Action,"2,04","1,02","0,00","0,32","3,38"
Shooter,"2,14","0,92","0,00","0,31","3,37"
Fighting,"2,47","0,76","0,00","0,13","3,36"
Action,"1,90","0,67","0,73","0,06","3,36"
Shooter,"0,88","1,70","0,10","0,67","3,35"
Adventure,"1,63","1,53","0,00","0,18","3,34"
Misc,"0,00","0,99","2,32","0,02","3,33"
Shooter,"1,45","1,29","0,12","0,46","3,33"
Platform,"1,44","1,01","0,57","0,30","3,33"
Action,"0,27","0,21","2,79","0,05","3,32"
Action,"1,47","1,39","0,03","0,43","3,32"
Action,"1,40","0,91","0,74","0,26","3,31"
Shooter,"1,99","1,05","0,05","0,22","3,31"
Action,"1,90","1,11","0,01","0,29","3,30"
Action,"1,50","1,28","0,05","0,46","3,28"
Role-Playing,"0,09","0,00","3,18","0,01","3,28"
Shooter,"2,61","0,33","0,00","0,34","3,28"
Action,"1,89","1,05","0,02","0,31","3,27"
Puzzle,"0,60","1,57","0,82","0,27","3,26"
Racing,"0,50","1,58","0,31","0,87","3,25"
Sports,"0,89","2,12","0,00","0,24","3,25"
Misc,"1,35","1,11","0,46","0,32","3,25"
Fighting,"0,95","1,30","0,77","0,22","3,24"
Sports,"2,34","0,30","0,00","0,60","3,24"
Racing,"0,72","1,67","0,40","0,44","3,23"
Shooter,"1,91","1,00","0,03","0,29","3,23"
Shooter,"1,72","1,33","0,00","0,16","3,21"
Platform,"1,18","0,89","0,94","0,20","3,21"
Fighting,"1,76","1,21","0,07","0,16","3,20"
Sports,"0,73","0,10","2,35","0,02","3,20"
Fighting,"2,26","0,72","0,12","0,10","3,20"
Role-Playing,"0,00","0,00","3,19","0,00","3,19"
Action,"1,48","1,00","0,04","0,66","3,18"
Action,"1,78","1,12","0,09","0,19","3,18"
Role-Playing,"1,35","0,59","0,80","0,43","3,18"
Misc,"2,15","0,76","0,01","0,26","3,17"
Adventure,"1,27","1,29","0,12","0,49","3,17"
Simulation,"2,06","0,56","0,38","0,17","3,17"
Simulation,"1,92","0,16","0,99","0,09","3,15"
Sports,"0,68","0,00","0,00","2,46","3,14"
Adventure,"1,87","0,97","0,00","0,30","3,14"
Action,"1,70","1,25","0,02","0,16","3,13"
Misc,"1,06","1,09","0,76","0,22","3,13"
Racing,"2,14","0,86","0,00","0,13","3,12"
Racing,"2,31","0,62","0,14","0,04","3,12"
Platform,"1,21","1,56","0,06","0,29","3,12"
Role-Playing,"0,08","0,00","3,03","0,01","3,12"
Misc,"0,55","0,50","1,93","0,13","3,11"
Role-Playing,"1,52","1,03","0,10","0,46","3,11"
Misc,"0,90","1,00","1,03","0,17","3,11"
Role-Playing,"1,69","0,85","0,14","0,43","3,10"
Action,"1,40","1,01","0,46","0,23","3,10"
Shooter,"0,88","0,94","0,88","0,40","3,10"
Role-Playing,"1,99","0,81","0,03","0,27","3,10"
Fighting,"2,17","0,28","0,55","0,08","3,09"
Sports,"2,50","0,16","0,01","0,42","3,08"
Sports,"1,92","0,45","0,64","0,07","3,08"
Platform,"1,57","0,62","0,55","0,34","3,07"
Simulation,"1,72","1,21","0,00","0,14","3,07"
Action,"1,80","0,97","0,00","0,29","3,06"
Simulation,"0,51","1,02","1,40","0,12","3,05"
Simulation,"1,00","1,82","0,00","0,23","3,05"
Shooter,"1,89","0,88","0,04","0,25","3,05"
Action,"1,75","1,01","0,00","0,29","3,05"
Action,"1,91","0,84","0,00","0,29","3,04"
Role-Playing,"1,94","0,84","0,03","0,24","3,04"
Adventure,"1,29","1,21","0,06","0,47","3,03"
Platform,"1,54","1,33","0,00","0,16","3,03"
Action,"1,94","0,79","0,02","0,28","3,03"
Action,"1,85","1,04","0,00","0,13","3,02"
Fighting,"2,03","0,47","0,45","0,07","3,02"
Sports,"1,45","1,13","0,07","0,38","3,02"
Sports,"0,61","1,85","0,11","0,44","3,01"
Shooter,"1,40","1,06","0,08","0,47","3,01"
Shooter,"1,38","1,32","0,02","0,28","3,00"
Platform,"2,04","0,63","0,12","0,22","3,00"
Sports,"2,60","0,20","0,01","0,19","3,00"
Fighting,"1,15","0,00","0,76","1,09","3,00"
Fighting,"1,57","1,02","0,00","0,41","3,00"
Shooter,"1,61","0,51","0,80","0,07","2,99"
Misc,"1,67","1,18","0,00","0,13","2,99"
Sports,"0,12","1,26","1,16","0,45","2,99"
Action,"1,36","0,86","0,64","0,13","2,99"
Role-Playing,"1,58","1,01","0,00","0,38","2,96"
Action,"1,01","1,43","0,05","0,47","2,96"
Platform,"1,04","1,37","0,06","0,49","2,96"
Action,"1,36","1,15","0,04","0,41","2,96"
Shooter,"1,84","0,80","0,04","0,27","2,95"
Shooter,"1,33","1,10","0,08","0,44","2,95"
Racing,"1,98","0,58","0,34","0,04","2,94"
Shooter,"2,22","0,51","0,06","0,15","2,94"
Fighting,"1,45","1,11","0,04","0,33","2,94"
Puzzle,"2,07","0,77","0,05","0,05","2,94"
Fighting,"1,82","0,70","0,15","0,26","2,94"
Action,"1,76","0,68","0,12","0,37","2,93"
Platform,"1,55","0,04","1,19","0,15","2,92"
Shooter,"1,88","0,77","0,00","0,27","2,92"
Sports,"0,79","1,92","0,00","0,21","2,92"
Platform,"1,75","0,45","0,62","0,09","2,91"
Role-Playing,"1,83","0,79","0,03","0,27","2,91"
Misc,"1,54","1,14","0,00","0,22","2,90"
Sports,"0,08","1,24","1,13","0,45","2,90"
Sports,"1,75","0,86","0,00","0,28","2,89"
Sports,"0,99","0,32","1,38","0,20","2,89"
Simulation,"1,41","1,12","0,05","0,30","2,89"
Shooter,"1,51","1,12","0,01","0,24","2,89"
Puzzle,"0,86","1,04","0,73","0,26","2,89"
Shooter,"2,03","0,72","0,02","0,11","2,88"
Simulation,"1,30","1,26","0,00","0,31","2,87"
Racing,"0,09","2,43","0,12","0,22","2,87"
Sports,"2,53","0,15","0,00","0,17","2,86"
Role-Playing,"2,09","0,63","0,03","0,11","2,86"
Action,"1,07","1,31","0,06","0,42","2,85"
Strategy,"1,37","1,34","0,00","0,14","2,85"
Racing,"1,37","0,51","0,89","0,07","2,85"
Platform,"1,29","0,53","0,98","0,05","2,85"
Fighting,"1,98","0,53","0,00","0,34","2,84"
Sports,"2,52","0,09","0,00","0,22","2,83"
Fighting,"1,32","1,08","0,04","0,39","2,83"
Shooter,"1,65","0,85","0,05","0,28","2,83"
Shooter,"1,96","0,67","0,10","0,09","2,82"
Action,"1,87","0,55","0,11","0,29","2,82"
Action,"1,59","1,05","0,04","0,14","2,82"
Sports,"1,51","1,03","0,00","0,27","2,81"
Adventure,"0,02","2,79","0,00","0,00","2,81"
Shooter,"1,28","1,04","0,07","0,42","2,81"
Racing,"0,71","1,46","0,06","0,58","2,81"
Simulation,"1,32","1,19","0,00","0,30","2,80"
Fighting,"1,32","1,06","0,04","0,38","2,80"
